id	name	source	fleet_status	snapshot_class	decision_rule	confidence	storage_bound	blockers	promotion_gates	fallback_path	fallback_admission	canary_ids
forge:abhinand-medembed-large-v0-1-vllm-cuda13@hf-963121b-vllm-0-22-0-cuda13-pooling	MedEmbed Large	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:abhinand-medembed-small-v0-1-tei-cuda-1-9@hf-40a5850-tei-cuda-1-9-3	MedEmbed Small	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	canary-tei-state-audit
forge:abhinand-medembed-small-v0-1-vllm-cuda13@hf-40a5850-vllm-0-22-0-cuda13-pooling	MedEmbed Small	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:alibaba-nlp-gte-modernbert-base-tei-cuda-1-9@tei-cuda-1-9-3	GTE ModernBERT Base	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:alibaba-nlp-gte-modernbert-base-vllm-cuda13@hf-e7f32e3-vllm-0-22-0-cuda13-pooling	GTE ModernBERT Base	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:alibaba-nlp-gte-qwen2-1-5b-instruct-tei-cuda-1-9@tei-cuda-1-9-3	GTE Qwen2 1.5B Instruct	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:alibaba-nlp-gte-reranker-modernbert-base-tei-cuda-1-9@tei-cuda-1-9-3	GTE Reranker ModernBERT Base	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:allenai-molmoact2-bimanual-yam@bimanual-yam	AllenAI MolmoAct2 BimanualYAM	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:allenai-molmoact2-so100-101@so100-101	AllenAI MolmoAct2 SO100/101	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:allenai-olmo-2-0425-1b-instruct-vllm-cuda13@vllm-0-21-0-cuda13	OLMo-2 1B Instruct	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:allenai-olmo-2-1124-7b-instruct-vllm-cuda13@vllm-0-21-0-cuda13	OLMo-2 7B Instruct	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:allenai-olmo-3-7b-instruct-vllm-cuda13@vllm-0-21-0-cuda13	OLMo 3 7B Instruct	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:arc-evo2-40b-nim@nim-2-1-0-40b-current-regional-mirror	Arc Evo 2 40B NIM	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:arc-evo2-7b-nim@nim-2-1-0-7b-current-regional-mirror	Arc Evo 2 7B NIM	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:baai-bge-base-en-v1-5-tei-cuda-1-9@tei-cuda-1-9-3	BGE Base EN v1.5	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:baai-bge-base-en-v1-5-vllm-cuda13@hf-a5beb1e-vllm-0-22-0-cuda13-pooling	BGE Base EN v1.5	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:baai-bge-large-en-v1-5-tei-cuda-1-9@tei-cuda-1-9-3	BGE Large EN v1.5	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:baai-bge-m3-tei-cuda-1-9@tei-cuda-1-9-3	BGE-M3	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:baai-bge-reranker-v2-m3-tei-cuda-1-9@tei-cuda-1-9-3	BGE Reranker v2 M3	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:baai-bge-small-en-v1-5-tei-cuda-1-9@tei-cuda-1-9-3	BGE Small EN v1.5	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:baai-bge-small-en-v1-5-vllm-cuda13@hf-5c38ec7-vllm-0-21-0-cuda13-pooling	BGE Small EN v1.5	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:beingbeyond-being-h05-2b-robocasa@robocasa	BeingBeyond Being-H0.5 2B RoboCasa	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:biohub-esmc-600m-protein-embedding@hf-465f758-python312-cuda128-wrapper-20260529	Biohub ESMC 600M Protein Embeddings	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:biomedica-bmc-clip-cf@wrapper-20260529t18z-ack	BIOMEDICA BMC-CLIP CF	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:biomistral-biomistral-7b-vllm@hf-9a11e1f-vllm-0-21-0	BioMistral 7B	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:black-forest-labs-flux-2-dev-diffusers-bf16@diffusers-bf16	FLUX.2 Dev	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:hf-token-required;access-gate:license-noncommercial;access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:black-forest-labs-flux-2-klein-4b-diffusers-cpu-offload@4b-diffusers-cpu-offload	FLUX.2 Klein 4B	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:boltz2-nim-blackwell-fast@1-7-0-blackwell-fast	Boltz-2 NIM Blackwell Fast	forge-manifests	active	unresolved	R06-family-proven	medium	false	digest-rebind-required	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	canary-family-proven-rebind
forge:boltz2-nim@1-7-0	Boltz-2 NIM	forge-manifests	active	unresolved	R06-family-proven	medium	false	digest-rebind-required	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:bytedance-protenix-v2@2-0-0	Protenix v2	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:bytedance-seed-oss-36b-instruct-vllm-cuda13@vllm-0-22-0-cuda13-hidden	Seed-OSS 36B Instruct	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:cambridgeltl-sapbert-pubmedbert-fulltext-tei-cuda-1-9@hf-090663c-tei-cuda-1-9-3	SapBERT PubMedBERT Entity Embeddings	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:cambridgeltl-sapbert-pubmedbert-fulltext-wrapper-cuda12@hf-090663c-wrapper-cuda12-slow-tokenizer	SapBERT PubMedBERT Entity Embeddings	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:d4data-biomedical-ner-all-wrapper-cuda12@hf-015a405-wrapper-cuda12-mirrored-20260605t04z	d4data Biomedical NER All	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:deepmind-alphafold2-nim-2-1-0@nim-2-1-0-onboarding	AlphaFold2 NIM	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:deepseek-ai-deepseek-r1-0528-qwen3-8b-vllm-cuda13@vllm-0-21-0-cuda13	DeepSeek R1 0528 Qwen3 8B	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:deepseek-ai-deepseek-r1-distill-qwen-14b-vllm-cuda13@vllm-0-21-0-cuda13	DeepSeek R1 Distill Qwen 14B	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:deepseek-ai-deepseek-v3-2-vllm-cuda13-tp8@vllm-0-21-0-cuda13-tp8-smoke	DeepSeek-V3.2	forge-manifests	active	unresolved	R04-multi-gpu	high	false	multi-gpu-restore-unqualified;no-capture-evidence	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:embo-soda-vec-dot-std-cov-losses-tei-cuda-1-9@hf-ec602c1-tei-cuda-1-9-3	EMBO SODA-VEC Dot/Std/Cov	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:embo-soda-vec-dot-std-cov-losses-vllm-cuda13@hf-ec602c1-vllm-0-21-0-cuda13-pooling	EMBO SODA-VEC Dot/Std/Cov	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:facebook-esm-2-3b-protein-embedding@hf-476b639-wrapper-20260427-timing	ESM-2 3B Protein Embeddings	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:facebook-esm-2-650m-protein-embedding@hf-08e4846-wrapper-20260427-timing	ESM-2 650M Protein Embeddings	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:facebook-esmfold-v1@hf-75a3841-wrapper-20260521-pdb-adapter-fix	ESMFold	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:flagrelease-robobrain2-32b-flagos-nvidia@32b-flagos-nvidia	FlagRelease RoboBrain2.0 32B FlagOS NVIDIA	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:hf-token-required;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:google-hear-health-acoustic-embeddings@hear-tensorflow-1-0-0-wrapper-20260706	Google HeAR Health Acoustic Embeddings	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:hf-token-required;access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:google-medgemma-1-5-4b-it-vllm-cuda13@hf-9185054-vllm-0-21-0-cuda13-gated	MedGemma 1.5 4B IT	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:hf-token-required;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:gromacs-md-ngc-wrapper@ngc-2023.2-wrapper-20260602	GROMACS Molecular Dynamics	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:h-embodvis-puma@puma-domino-dynamic-35task	H-EmbodVis PUMA	forge-manifests	active	unresolved	R05-closed-image	high	false	access-gate:no-public-image-reference;no-capture-evidence;no-digest-binding;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	blocked-until-digest-bound	
forge:hierarchy-transformers-hit-minilm-l12-snomedct-tei-cuda-1-9@hf-f822e43-tei-cuda-1-9-3	HiT MiniLM L12 SNOMED CT Embeddings	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:huggingface-lerobot-pi0fast-base@base	Hugging Face LeRobot PI0Fast Base	forge-manifests	active	unresolved	R05-closed-image	high	false	access-gate:no-public-image-reference;no-capture-evidence;no-digest-binding;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	blocked-until-digest-bound	
forge:huggingface-lerobot-smolvla-base@base	Hugging Face LeRobot SmolVLA Base	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:huggingface-lerobot-smolvla-libero-plus@libero-plus	Hugging Face LeRobot SmolVLA Libero Plus	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:huggingface-lerobot-smolvla-libero@libero	Hugging Face LeRobot SmolVLA Libero	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:huggingface-lerobot-smolvla-robocasa@robocasa	Hugging Face LeRobot SmolVLA RoboCasa	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:huggingface-lerobot-smolvla-robotwin@robotwin	Hugging Face LeRobot SmolVLA RobotWin	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:huggingface-lerobot-smolvla-vlabench@vlabench	Hugging Face LeRobot SmolVLA VLABench	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:huggingface-lerobot-xvla-base@base	Hugging Face LeRobot X-VLA Base	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:huggingface-lerobot-xvla-google-robot@google-robot	Hugging Face LeRobot X-VLA Google Robot	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:huggingfacebio-carbon-3b-vllm-cuda13@hf-fe755cb-vllm-0-22-0-cuda13	Carbon 3B	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:huggingfacetb-smollm3-3b-vllm-cuda13@vllm-0-21-0-cuda13	SmolLM3 3B	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:huggingfacetb-smollm3-3b-vllm@vllm-0-10-2-cuda12-8	SmolLM3 3B	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:ibm-granite-granite-3-3-8b-instruct-vllm-cuda13@vllm-0-21-0-cuda13	Granite 3.3 8B Instruct	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:ibm-granite-granite-4-1-8b-vllm-cuda13@vllm-0-21-0-cuda13	Granite 4.1 8B	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:ibm-granite-granite-embedding-small-english-r2-tei-cuda-1-9@tei-cuda-1-9-3	Granite Embedding Small English R2	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:instadeep-nucleotide-transformer-v2-500m-multi-species-dna-embedding@hf-main-clawbio-dna-mlm-20260605	Nucleotide Transformer v2 500M Multi-Species DNA Embeddings	forge-manifests	active	unresolved	R07-unassessed	low	false	access-gate:no-public-image-reference;no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
forge:intfloat-multilingual-e5-large-instruct-tei-cuda-1-9@tei-cuda-1-9-3	Multilingual E5 Large Instruct	forge-manifests	active	unresolved	R07-unassessed	low	false	no-capture-evidence;state-audit-pending	G-DIGEST;G-TOPOLOGY;G-CORRUPT;G-SEMEQ;G-ROLLBACK	conventional-pull-and-load	measurement-required	
