id	canonical_key	name	source	availability_class	evidence_tier	gates	workload_class	runtime_family	api_style	endpoint_path	min_gpus	min_vram_gb	gpu_sku_compat_true	image_upstream_ref	image_digest	image_size_bytes	artifact_size_bytes	cache_bytes	snapshot_eligibility	startup_path	t0_to_call2_p50_s	license	fixtures_status	local_bytes_known
faststart:rfdiffusion@sha256:15e40e466d8ebe9a53f1feea599373720428c9de65da750bf4271c96ec35ceb4	nvcr.io/nim/ipd/rfdiffusion	RFdiffusion NIM	faststart-v2-lanes	verified	measured-local		protein-backbone-generation	nim	nim-native-http	/biology/ipd/rfdiffusion/generate	1			nvcr.io/nim/ipd/rfdiffusion	sha256:15e40e466d8ebe9a53f1feea599373720428c9de65da750bf4271c96ec35ceb4		22087352229	2590162178	proven	native-snapshot-restore	31.379359		linked-strict-validator	24677514407
forge:aaditya-llama3-openbiollm-8b-vllm@hf-70d6bb5-vllm-0-21-0	hf:aaditya/Llama3-OpenBioLLM-8B	Llama3 OpenBioLLM 8B	forge-manifests	verified	measured-source		chat	vllm	openai-compatible	/v1/completions	1	32	B200|B300|H200|L40S|RTX6000	docker.io/vllm/vllm-openai:v0.22.1	sha256:953d3a06d5e64ab582985cd7401289d3abf2a2c14ef2158e9a84313daeec77d7	8669266122			candidate-unproven	conventional-pull-and-load		llama3	example-only	8669266122
forge:abhinand-medembed-base-v0-1-vllm-cuda13@hf-7a90c50-vllm-0-22-0-cuda13-pooling	hf:abhinand/MedEmbed-base-v0.1	MedEmbed Base	forge-manifests	verified	measured-source		embedding	vllm	openai-compatible	/v1/embeddings	1	8	B300	docker.io/vllm/vllm-openai:v0.22.0	sha256:0fec7ec5f3e6bc168e54899935fb0557da908a4832a1dbc88e2debcf2f889416	8669299461			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	8669299461
forge:abhinand-medembed-large-v0-1-vllm-cuda13@hf-963121b-vllm-0-22-0-cuda13-pooling	hf:abhinand/MedEmbed-large-v0.1	MedEmbed Large	forge-manifests	verified	measured-source		embedding	vllm	openai-compatible	/v1/embeddings	1	12	B200|B300|H200|L40S|RTX6000	docker.io/vllm/vllm-openai:v0.22.0	sha256:0fec7ec5f3e6bc168e54899935fb0557da908a4832a1dbc88e2debcf2f889416	8669299461			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	8669299461
forge:abhinand-medembed-small-v0-1-tei-cuda-1-9@hf-40a5850-tei-cuda-1-9-3	hf:abhinand/MedEmbed-small-v0.1	MedEmbed Small	forge-manifests	verified	measured-source		embedding	tei	openai-compatible	/v1/embeddings	1	8	B200|H200|L40S|RTX6000	ghcr.io/huggingface/text-embeddings-inference:cuda-1.9	sha256:249a0bc87522bfe2f1012b4d194f0225878f47079115ada3aeb0b1ef257b402a	3110078263			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	3110078263
forge:abhinand-medembed-small-v0-1-vllm-cuda13@hf-40a5850-vllm-0-22-0-cuda13-pooling	hf:abhinand/MedEmbed-small-v0.1	MedEmbed Small	forge-manifests	verified	measured-source		embedding	vllm	openai-compatible	/v1/embeddings	1	8	B300	docker.io/vllm/vllm-openai:v0.22.0	sha256:0fec7ec5f3e6bc168e54899935fb0557da908a4832a1dbc88e2debcf2f889416	8669299461			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	8669299461
forge:alibaba-nlp-gte-modernbert-base-tei-cuda-1-9@tei-cuda-1-9-3	hf:Alibaba-NLP/gte-modernbert-base	GTE ModernBERT Base	forge-manifests	verified	measured-source		embedding	tei	openai-compatible	/v1/embeddings	1	8	B200|H200|L40S|RTX6000	ghcr.io/huggingface/text-embeddings-inference:cuda-1.9	sha256:249a0bc87522bfe2f1012b4d194f0225878f47079115ada3aeb0b1ef257b402a	3110078263			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	3110078263
forge:alibaba-nlp-gte-modernbert-base-vllm-cuda13@hf-e7f32e3-vllm-0-22-0-cuda13-pooling	hf:Alibaba-NLP/gte-modernbert-base	GTE ModernBERT Base	forge-manifests	verified	measured-source		embedding	vllm	openai-compatible	/v1/embeddings	1	8	B200|B300|H200|L40S	docker.io/vllm/vllm-openai:v0.22.0	sha256:0fec7ec5f3e6bc168e54899935fb0557da908a4832a1dbc88e2debcf2f889416	9219894117			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	9219894117
forge:alibaba-nlp-gte-qwen2-1-5b-instruct-tei-cuda-1-9@tei-cuda-1-9-3	hf:Alibaba-NLP/gte-Qwen2-1.5B-instruct	GTE Qwen2 1.5B Instruct	forge-manifests	discoverable	catalog-listed		embedding	tei	openai-compatible	/v1/embeddings	1	16		ghcr.io/huggingface/text-embeddings-inference:cuda-1.9	sha256:249a0bc87522bfe2f1012b4d194f0225878f47079115ada3aeb0b1ef257b402a	3110078263			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	3110078263
forge:alibaba-nlp-gte-reranker-modernbert-base-tei-cuda-1-9@tei-cuda-1-9-3	hf:Alibaba-NLP/gte-reranker-modernbert-base	GTE Reranker ModernBERT Base	forge-manifests	verified	measured-source		rerank	tei	custom-http	/rerank	1	8	B200|H200|L40S|RTX6000	ghcr.io/huggingface/text-embeddings-inference:cuda-1.9	sha256:249a0bc87522bfe2f1012b4d194f0225878f47079115ada3aeb0b1ef257b402a	3110078263			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	3110078263
forge:allenai-molmoact2-bimanual-yam@bimanual-yam	hf:allenai/MolmoAct2-BimanualYAM	AllenAI MolmoAct2 BimanualYAM	forge-manifests	gated	catalog-listed	no-public-image-reference	physical-ai	custom	custom-http	/v1/inference/allenai-molmoact2-bimanual-yam	1	24	B200|B300|H200|L40S|RTX6000		sha256:a957b09819de8187b59fc4e0d2dc3f928f11cb5ed68b3786924ddb0af3b12121	8663684128			candidate-unproven	conventional-pull-and-load		Apache-2.0	example-only	8663684128
forge:allenai-molmoact2-so100-101@so100-101	hf:allenai/MolmoAct2-SO100_101	AllenAI MolmoAct2 SO100/101	forge-manifests	gated	measured-source	no-public-image-reference	physical-ai	custom	custom-http	/v1/inference/allenai-molmoact2-so100-101	1	24	B200|B300|H200|L40S|RTX6000		sha256:a957b09819de8187b59fc4e0d2dc3f928f11cb5ed68b3786924ddb0af3b12121	8663684128			candidate-unproven	conventional-pull-and-load		Apache-2.0	example-only	8663684128
forge:allenai-olmo-2-0425-1b-instruct-vllm-cuda13@vllm-0-21-0-cuda13	hf:allenai/OLMo-2-0425-1B-Instruct	OLMo-2 1B Instruct	forge-manifests	verified	measured-source		chat	vllm	openai-compatible	/v1/chat/completions	1	16	B200|B300|H200|L40S|RTX6000	docker.io/vllm/vllm-openai:v0.22.0	sha256:0fec7ec5f3e6bc168e54899935fb0557da908a4832a1dbc88e2debcf2f889416	8669299461			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	8669299461
forge:allenai-olmo-2-1124-7b-instruct-vllm-cuda13@vllm-0-21-0-cuda13	hf:allenai/OLMo-2-1124-7B-Instruct	OLMo-2 7B Instruct	forge-manifests	verified	measured-source		chat	vllm	openai-compatible	/v1/chat/completions	1	32		docker.io/vllm/vllm-openai:v0.22.1	sha256:953d3a06d5e64ab582985cd7401289d3abf2a2c14ef2158e9a84313daeec77d7	8669299461			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	8669299461
forge:allenai-olmo-3-7b-instruct-vllm-cuda13@vllm-0-21-0-cuda13	hf:allenai/Olmo-3-7B-Instruct	OLMo 3 7B Instruct	forge-manifests	verified	measured-source		chat	vllm	openai-compatible	/v1/chat/completions	1	48	B200|B300|H200|L40S|RTX6000	docker.io/vllm/vllm-openai:v0.22.0	sha256:0fec7ec5f3e6bc168e54899935fb0557da908a4832a1dbc88e2debcf2f889416	8669299461			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	8669299461
forge:arc-evo2-40b-nim@nim-2-1-0-40b-current-regional-mirror	nvcr.io/nim/arc/evo2	Arc Evo 2 40B NIM	forge-manifests	discoverable	catalog-listed		life-science	nim	nim-native-http	/biology/arc/evo2/generate	1	141	H200	nvcr.io/nim/arc/evo2:2	sha256:561886bab1d2d0da836ebf5bec403f9de2baf6e92deb7eedf1b316aa994b5dd2	16371372948			candidate-unproven	conventional-pull-and-load		NVIDIA Open Model License; Apache-2.0 additional information; NVIDIA NIM terms	example-only	16371372948
forge:arc-evo2-7b-nim@nim-2-1-0-7b-current-regional-mirror	nvcr.io/nim/arc/evo2	Arc Evo 2 7B NIM	forge-manifests	discoverable	catalog-listed		life-science	nim	nim-native-http	/biology/arc/evo2/generate	1	30	H200	nvcr.io/nim/arc/evo2:2	sha256:561886bab1d2d0da836ebf5bec403f9de2baf6e92deb7eedf1b316aa994b5dd2	16371372948			candidate-unproven	conventional-pull-and-load		NVIDIA Open Model License; Apache-2.0 additional information; NVIDIA NIM terms	example-only	16371372948
forge:baai-bge-base-en-v1-5-tei-cuda-1-9@tei-cuda-1-9-3	hf:BAAI/bge-base-en-v1.5	BGE Base EN v1.5	forge-manifests	verified	measured-source		embedding	tei	openai-compatible	/v1/embeddings	1	8	B200|H200|L40S|RTX6000	ghcr.io/huggingface/text-embeddings-inference:cuda-1.9	sha256:249a0bc87522bfe2f1012b4d194f0225878f47079115ada3aeb0b1ef257b402a	3110078263			candidate-unproven	conventional-pull-and-load		mit	example-only	3110078263
forge:baai-bge-base-en-v1-5-vllm-cuda13@hf-a5beb1e-vllm-0-22-0-cuda13-pooling	hf:BAAI/bge-base-en-v1.5	BGE Base EN v1.5	forge-manifests	verified	measured-source		embedding	vllm	openai-compatible	/v1/embeddings	1	8	B300	docker.io/vllm/vllm-openai:v0.22.0	sha256:0fec7ec5f3e6bc168e54899935fb0557da908a4832a1dbc88e2debcf2f889416	9219894117			candidate-unproven	conventional-pull-and-load		mit	example-only	9219894117
forge:baai-bge-large-en-v1-5-tei-cuda-1-9@tei-cuda-1-9-3	hf:BAAI/bge-large-en-v1.5	BGE Large EN v1.5	forge-manifests	verified	measured-source		embedding	tei	openai-compatible	/v1/embeddings	1	8	B200|H200|L40S	ghcr.io/huggingface/text-embeddings-inference:cuda-1.9	sha256:249a0bc87522bfe2f1012b4d194f0225878f47079115ada3aeb0b1ef257b402a	3110078263			candidate-unproven	conventional-pull-and-load		mit	example-only	3110078263
forge:baai-bge-m3-tei-cuda-1-9@tei-cuda-1-9-3	hf:BAAI/bge-m3	BGE-M3	forge-manifests	verified	measured-source		embedding	tei	openai-compatible	/v1/embeddings	1	8	B200|H200|L40S|RTX6000	ghcr.io/huggingface/text-embeddings-inference:cuda-1.9	sha256:249a0bc87522bfe2f1012b4d194f0225878f47079115ada3aeb0b1ef257b402a	3110078263			candidate-unproven	conventional-pull-and-load		mit	example-only	3110078263
forge:baai-bge-reranker-v2-m3-tei-cuda-1-9@tei-cuda-1-9-3	hf:BAAI/bge-reranker-v2-m3	BGE Reranker v2 M3	forge-manifests	verified	measured-source		rerank	tei	custom-http	/rerank	1	8	B200|H200|L40S	ghcr.io/huggingface/text-embeddings-inference:cuda-1.9	sha256:249a0bc87522bfe2f1012b4d194f0225878f47079115ada3aeb0b1ef257b402a	3110096066			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	3110096066
forge:baai-bge-small-en-v1-5-tei-cuda-1-9@tei-cuda-1-9-3	hf:BAAI/bge-small-en-v1.5	BGE Small EN v1.5	forge-manifests	verified	measured-source		embedding	tei	openai-compatible	/v1/embeddings	1	8	B200|H200|L40S|RTX6000	ghcr.io/huggingface/text-embeddings-inference:cuda-1.9	sha256:249a0bc87522bfe2f1012b4d194f0225878f47079115ada3aeb0b1ef257b402a	3110078263			candidate-unproven	conventional-pull-and-load		mit	example-only	3110078263
forge:baai-bge-small-en-v1-5-vllm-cuda13@hf-5c38ec7-vllm-0-21-0-cuda13-pooling	hf:BAAI/bge-small-en-v1.5	BGE Small EN v1.5	forge-manifests	verified	measured-source		embedding	vllm	openai-compatible	/v1/embeddings	1	8	B300	docker.io/vllm/vllm-openai:v0.22.0	sha256:0fec7ec5f3e6bc168e54899935fb0557da908a4832a1dbc88e2debcf2f889416	8669266122			candidate-unproven	conventional-pull-and-load		mit	example-only	8669266122
forge:beingbeyond-being-h05-2b-robocasa@robocasa	hf:BeingBeyond/Being-H05-2B_robocasa	BeingBeyond Being-H0.5 2B RoboCasa	forge-manifests	gated	catalog-listed	no-public-image-reference	physical-ai	custom	custom-http	/v1/inference/beingbeyond-being-h05-2b-robocasa	1	40			sha256:1a6e7062af5dd30a2461843e5f115c8dc24f959f7ffa700003465f8b30efb1e6	11396346534			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	11396346534
forge:biohub-esmc-600m-protein-embedding@hf-465f758-python312-cuda128-wrapper-20260529	hf:biohub/ESMC-600M	Biohub ESMC 600M Protein Embeddings	forge-manifests	gated	measured-source	no-public-image-reference	embedding	custom	custom-http	/v1/inference/biohub-esmc-600m-protein-embedding	1	16	B200|B300|H200|L40S|RTX6000		sha256:c6f2b5524ce712c455319991d156e81f8be8ebd9946e4c8e3b1d825400be5247	11930761286			candidate-unproven	conventional-pull-and-load		mit-with-third-party-notices	example-only	11930761286
forge:biomedica-bmc-clip-cf@wrapper-20260529t18z-ack	hf:BIOMEDICA/BMC_CLIP_CF	BIOMEDICA BMC-CLIP CF	forge-manifests	gated	measured-source	no-public-image-reference	retrieval	custom	custom-http	/v1/inference/biomedica-bmc-clip-cf	1	24	B200|B300|H200|L40S|RTX6000		sha256:3715eb9a4e9c8b18899fba64b392b0a0ee75fe7fcbcee6b475662fcae6865186	4273813858			candidate-unproven	conventional-pull-and-load		mit	example-only	4273813858
forge:biomistral-biomistral-7b-vllm@hf-9a11e1f-vllm-0-21-0	hf:BioMistral/BioMistral-7B	BioMistral 7B	forge-manifests	verified	measured-source		chat	vllm	openai-compatible	/v1/chat/completions	1	24	B200|B300|H200|L40S|RTX6000	docker.io/vllm/vllm-openai:v0.22.1	sha256:953d3a06d5e64ab582985cd7401289d3abf2a2c14ef2158e9a84313daeec77d7	8669305992			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	8669305992
forge:black-forest-labs-flux-2-dev-diffusers-bf16@diffusers-bf16	hf:black-forest-labs/FLUX.2-dev	FLUX.2 Dev	forge-manifests	gated	measured-source	hf-token-required|license-noncommercial|no-public-image-reference	image-generation	diffusers	custom-http	/v1/inference/black-forest-labs-flux-2-dev-diffusers-bf16	1	120	B200|B300|H100|H200|RTX6000		sha256:2a033f066904c01d1377b00aa28773fdea0e131da03f51b01ab0bde448acb918	8296349976			candidate-unproven	conventional-pull-and-load		flux-non-commercial-license	example-only	8296349976
forge:black-forest-labs-flux-2-klein-4b-diffusers-cpu-offload@4b-diffusers-cpu-offload	hf:black-forest-labs/FLUX.2-klein-4B	FLUX.2 Klein 4B	forge-manifests	gated	measured-source	no-public-image-reference	image-generation	diffusers	custom-http	/generate	1	13	H100|H200|L40S		sha256:661c7ba13ee8a5eaf61252ad581a6c39774285c0b58b8ed3cbbfe89b16d55c21	6453773982			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	6453773982
forge:boltz2-nim-blackwell-fast@1-7-0-blackwell-fast	nvcr.io/nim/mit/boltz2	Boltz-2 NIM Blackwell Fast	forge-manifests	verified	measured-source		life-science	nim	nim-native-http	/biology/mit/boltz2/predict	1	48	B200|B300	nvcr.io/nim/mit/boltz2:1.7.0	sha256:be26244d021af2d496e2074c4aa8664b300238eec2c81d2d64749d54b49b2dec				candidate-family-proven	conventional-pull-and-load		MIT; NVIDIA Community Model License; NVIDIA NIM terms	example-only	0
forge:boltz2-nim@1-7-0	nvcr.io/nim/mit/boltz2	Boltz-2 NIM	forge-manifests	verified	measured-source		life-science	nim	nim-native-http	/biology/mit/boltz2/predict	1	48	B200|B300|H100|H200|L40S	nvcr.io/nim/mit/boltz2:1.7.0	sha256:be26244d021af2d496e2074c4aa8664b300238eec2c81d2d64749d54b49b2dec				candidate-family-proven	conventional-pull-and-load		MIT; NVIDIA Community Model License; NVIDIA NIM terms	example-only	0
forge:bytedance-protenix-v2@2-0-0	forge-family:bytedance-protenix	Protenix v2	forge-manifests	gated	catalog-listed	no-public-image-reference	life-science	custom	custom-http	/v1/inference/bytedance-protenix-v2	1	80			sha256:dc09ff410294b46a4ee53bfc5b49f417912526fb0d34a160a149d8860d642e3b	4867364489			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	4867364489
forge:bytedance-seed-oss-36b-instruct-vllm-cuda13@vllm-0-22-0-cuda13-hidden	hf:ByteDance-Seed/Seed-OSS-36B-Instruct	Seed-OSS 36B Instruct	forge-manifests	verified	measured-source		chat	vllm	openai-compatible	/v1/chat/completions	1	96	B200|B300|H200	docker.io/vllm/vllm-openai:v0.22.0	sha256:0fec7ec5f3e6bc168e54899935fb0557da908a4832a1dbc88e2debcf2f889416	9219894117			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	9219894117
forge:cambridgeltl-sapbert-pubmedbert-fulltext-tei-cuda-1-9@hf-090663c-tei-cuda-1-9-3	hf:cambridgeltl/SapBERT-from-PubMedBERT-fulltext	SapBERT PubMedBERT Entity Embeddings	forge-manifests	discoverable	catalog-listed		embedding	tei	openai-compatible	/v1/embeddings	1	8		ghcr.io/huggingface/text-embeddings-inference:cuda-1.9	sha256:249a0bc87522bfe2f1012b4d194f0225878f47079115ada3aeb0b1ef257b402a	3110078263			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	3110078263
forge:cambridgeltl-sapbert-pubmedbert-fulltext-wrapper-cuda12@hf-090663c-wrapper-cuda12-slow-tokenizer	hf:cambridgeltl/SapBERT-from-PubMedBERT-fulltext	SapBERT PubMedBERT Entity Embeddings	forge-manifests	gated	measured-source	no-public-image-reference	embedding	custom-wrapper	openai-compatible	/v1/embeddings	1	8	B200|B300|H200|L40S|RTX6000		sha256:e7f0f8058692a006ef128a9bcdc1bf942e39c588e8c3c66e21ee51bf4d313943	4288792245			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	4288792245
forge:d4data-biomedical-ner-all-wrapper-cuda12@hf-015a405-wrapper-cuda12-mirrored-20260605t04z	hf:d4data/biomedical-ner-all	d4data Biomedical NER All	forge-manifests	gated	measured-source	no-public-image-reference	healthcare	custom-wrapper	custom-http	/token_classification	1	8			sha256:02c3270d37964e069e4954fb84d37423c79ae692e95dd87b94fd4413b2efe117	7801354262			candidate-unproven	conventional-pull-and-load		apache-2.0	example-only	7801354262
forge:deepmind-alphafold2-nim-2-1-0@nim-2-1-0-onboarding	nvcr.io/nim/deepmind/alphafold2	AlphaFold2 NIM	forge-manifests	discoverable	catalog-listed		life-science	nim	nim-native-http	/protein-structure/alphafold2/predict-structure-from-sequence	1	32		nvcr.io/nim/deepmind/alphafold2:2.1.0	sha256:ac62285938aeb28b5f39b5e0644b00e7a4d6a5e7dc339e188d8b0dee2c6fb0b9				candidate-unproven	conventional-pull-and-load		Apache-2.0 code; CC-BY-4.0 model parameters; NVIDIA NIM terms	example-only	0
forge:deepseek-ai-deepseek-r1-0528-qwen3-8b-vllm-cuda13@vllm-0-21-0-cuda13	hf:deepseek-ai/DeepSeek-R1-0528-Qwen3-8B	DeepSeek R1 0528 Qwen3 8B	forge-manifests	verified	measured-source		chat	vllm	openai-compatible	/v1/chat/completions	1	48	B200|B300|H200|L40S	docker.io/vllm/vllm-openai:v0.22.0	sha256:0fec7ec5f3e6bc168e54899935fb0557da908a4832a1dbc88e2debcf2f889416	8669299461			candidate-unproven	conventional-pull-and-load		mit; qwen3 base apache-2.0	example-only	8669299461
forge:deepseek-ai-deepseek-r1-distill-qwen-14b-vllm-cuda13@vllm-0-21-0-cuda13	hf:deepseek-ai/DeepSeek-R1-Distill-Qwen-14B	DeepSeek R1 Distill Qwen 14B	forge-manifests	verified	measured-source		chat	vllm	openai-compatible	/v1/chat/completions	1	48	B200|B300|H200|L40S|RTX6000	docker.io/vllm/vllm-openai:v0.22.0	sha256:0fec7ec5f3e6bc168e54899935fb0557da908a4832a1dbc88e2debcf2f889416	8669299461			candidate-unproven	conventional-pull-and-load		mit; qwen2.5 base apache-2.0	example-only	8669299461
forge:deepseek-ai-deepseek-v3-2-vllm-cuda13-tp8@vllm-0-21-0-cuda13-tp8-smoke	hf:deepseek-ai/DeepSeek-V3.2	DeepSeek-V3.2	forge-manifests	discoverable	catalog-listed		chat	vllm	openai-compatible	/v1/chat/completions	8	80		docker.io/vllm/vllm-openai:v0.21.0	sha256:a230095847e93bd4df9888b33dab956fa9504537b828a23657d2b26fed57b5c9	8669299461			unproven-multi-gpu	conventional-pull-and-load		mit	example-only	8669299461
forge:embo-soda-vec-dot-std-cov-losses-tei-cuda-1-9@hf-ec602c1-tei-cuda-1-9-3	hf:EMBO/soda-vec-dot-std-cov-losses	EMBO SODA-VEC Dot/Std/Cov	forge-manifests	verified	measured-source		embedding	tei	openai-compatible	/v1/embeddings	1	8	B200|H200|L40S	ghcr.io/huggingface/text-embeddings-inference:cuda-1.9	sha256:249a0bc87522bfe2f1012b4d194f0225878f47079115ada3aeb0b1ef257b402a				candidate-unproven	conventional-pull-and-load		mit	example-only	0
forge:embo-soda-vec-dot-std-cov-losses-vllm-cuda13@hf-ec602c1-vllm-0-21-0-cuda13-pooling	hf:EMBO/soda-vec-dot-std-cov-losses	EMBO SODA-VEC Dot/Std/Cov	forge-manifests	verified	measured-source		embedding	vllm	openai-compatible	/v1/embeddings	1	8	B300	docker.io/vllm/vllm-openai:v0.22.1	sha256:953d3a06d5e64ab582985cd7401289d3abf2a2c14ef2158e9a84313daeec77d7	8669299461			candidate-unproven	conventional-pull-and-load		mit	example-only	8669299461
forge:facebook-esm-2-3b-protein-embedding@hf-476b639-wrapper-20260427-timing	hf:facebook/esm2_t36_3B_UR50D	ESM-2 3B Protein Embeddings	forge-manifests	gated	measured-source	no-public-image-reference	embedding	custom	custom-http	/v1/inference/facebook-esm-2-3b-protein-embedding	1	24	B200|B300|H200|L40S|RTX6000		sha256:c865e940ebd6d66766316d1699e6c0f264dd399870909fe9e3e43bea41599bb7	4888071019			candidate-unproven	conventional-pull-and-load		mit	example-only	4888071019
